"Phone_name","Phone_Review_tittle","Phone_Review_body","Phone_Review_rating"
"Redmi 9A (Nature Green, 2GB RAM, 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery","Don't buy this phone","Both 13 MP and 5MP Camera quality is good. Have lot of pre installed apps. But can be uninstalled if not required. Overall good performance . I am using Asus zenfone max and according to me far better than Asus except Camera quality. It comes in 5000 mah battery and one can't get a better option at this price range. Go for it. It's really good
After one week use
Edit:- please don't buy this phone. It hangs a lot and sometimes there is problem in touch screen.","1.0 out of 5 stars"
"Redmi 9A (Nature Green, 2GB RAM, 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery","One of the good choice for low budget phone","If you are looking for low budget phone this can be a good choice for you.
If you wanna android phone just for day to day work then it's really good.
On playing heavy games it will hange obviously. Camera is fine at this range. When you start your new device it take some time but later it will work smoothly.
Phone is light weight with a good look","4.0 out of 5 stars"
"Redmi 9A (Nature Green, 2GB RAM, 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery","Bad camera and made in China","Camera quality is not good. It is mentioned as 13mp but the motion of the camera is like 2mp. Phone is very slow in operation even though it is 3gb RAM . More over it is MADE IN CHINA.","1.0 out of 5 stars"
"Redmi 9A (Nature Green, 2GB RAM, 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery","Simply excellent. Read complete review written after my 30 days of experience","Excellent mobile for daily use @7500/-. Don't belive in negative reviews at all. If course the product parts made in China, entire assembly, software all are of India. Even this mobile have no bloat ware or Chinese apps and it's 3gb variant is excellent and black colour looks great.
Camera is good at it's price range and has autofocus and AI potrait feature.
Regarding battery is really huge and with normal daily usage it lasts for about 24 hrs as of my experience. With heavy usage and gaming it lasts for 7-10 hrs.
Regarding gaming, since it has gaming processor helio G25 (equal to Snapdragon 625), and it's hyperdrive technology, no lag in gaming and better network connectivity makes games more aweful.
Overall product is excellent at it's price range.","5.0 out of 5 stars"
"Redmi 9A (Nature Green, 2GB RAM, 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery","Amezing One","If I started to rating it's all features, it will as followed (Out of 5 🌟):
Processor ⭐⭐⭐⭐
Display ⭐ ⭐⭐⭐⭐
Battery ⭐⭐⭐⭐⭐
Sound in loud ⭐⭐⭐
Sound in 3.5 mm cord ⭐⭐⭐⭐⭐
Camera Selfie ⭐⭐⭐
Camera Back ⭐⭐⭐⭐
Networking ⭐⭐⭐⭐⭐
Lack:
There is no Fingers print sensor locked.
There is no Back cover in the box.
Camera quality not so good.","5.0 out of 5 stars"
"Redmi 9A (Nature Green, 2GB RAM, 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery","Value-For-Money & Recommended for a normal user","I purchased it for my Mother, Decent product in this price range.
* Looks beautiful and elegant.
*Initial Performance is good for a normal user and clipped to be alright for everday use. not recommended for gamers.
* Front and back cameras are avarage and good in this price range. AI based potrate mode works fine. In this price range this is fine so far.
* Bigger display and fairly decent and good enough for videos.
*Most of the preloaded apps are uninstallabe and storage management is also decent.
*Battery is main pro to be highlighted, in this price range 5000mah battery is superb and does it job.
*Sound is crisp and clear and call quality is also decent
**Main Con : Charger included in the box is not 10W as xiaomi advertised and it is a normal 5W. It make a littlr bit time to juice up 5000 mah battery.","4.0 out of 5 stars"
"Redmi 9A (Nature Green, 2GB RAM, 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery","Poor","Battery is getting drained out quite fast. 7% in an hr. with half an hr of usage. Camera is also poor. Charging is very slow that was known though. First point is troubling!","1.0 out of 5 stars"
"Redmi 9A (Nature Green, 2GB RAM, 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery","Dont buy it as lower model is good then this","Not as good as redmi 8a, no type C , no fast charge, sound is low compared to remi 8a, display is also poor compared to redmi 8a , camera is nonsense. you should by redmi 8a or 8a dual.
You can buy this if above are not problematic to you....... As this phone cost 1k lesss then other","3.0 out of 5 stars"
"Redmi 9 (Sky Blue, 4GB RAM, 64GB Storage)| 5000 mAh| 2.3GHz Mediatek Helio G35 Octa core Processor","DONT BUY THIS MOBILE .","Don’t buy this product .
Image quality is below average comparing with the specification. Useless camera.
And there is NO RETURN POLICY and replacing with same mobile is big headache .
DON’T buy this mobile","1.0 out of 5 stars"
"Redmi 9 (Sky Blue, 4GB RAM, 64GB Storage)| 5000 mAh| 2.3GHz Mediatek Helio G35 Octa core Processor","Redmi 9 hhoo, 9, 9🤩, 9, changed mind","Let’s make one thing clear immediately: the Xiaomi Redmi 9 is a phone with flaws, and it has a lot of them. On the other hand, it is one of the most affordable phones available anywhere right now, and it's hard to find a better phone at this price point.The screen is of barely acceptable quality, the camera is disappointing, and the performance is middling at best, and yet, the Redmi 9 counters these with its superb design, good feature set, long battery life, and finally, the biggest ace in its sleeve — the ultra-affordable pricing. Let that sink in — the Redmi 9 starts at less than 9000, This alone offsets all of the flaws that the phone has in store for us. Or does it? Let's look at the the many, many corners that have been cut to achieve this pricing
🇩 🇪 🇸 🇮 🇬 🇳
Plastic is fantastic, especially on affordable phones, and the Redmi 9 once again proves that. The textured back of the Redmi 9 feels great in the hand and provides excellent grip when used naked, though I’d still recommend putting a case on. I actually quite like the textured back of the device, which not only helps with the grip, but also adds a certain ""cool"" factor to the device, and no, I have zero issues with the fact that I'm touching plastic. What’s more, plastic keeps the weight below 200 grams, which is admirable for such a large device with its humongous 5,020mAh battery. Don’t get me wrong, it’s still a big and heavy phone, but it doesn’t strike as such. Overall, the Redmi 9 is a joy to handle, despite its large dimensions.
🇩 🇮 🇸 🇵 🇱 🇦 🇾
The display of the Redmi 9 is pretty average. Sure, it’s large and spacious with its 6.53-inch diagonal, and the resolution is more than sufficient, but it’s an LCD FHD+ display with bleak colors, low brightness, and disappointing contrast. The display is lackluster, and I didn’t enjoy it at all during my time with the phone. You will also have a hard time under bright sunlight, as it’s just not bright enough.
🅱🅰🆃🆃🅴🆁🆈
The battery backup, fortunately, is spectacular on the Redmi 9. With the phone's fairly efficient hardware, the large, 5,020mAh battery takes a long while to drain. You can rest assured it will last you for a long time; in my experience, two days of usage were guaranteed. In our custom battery tests, the phone lasted for a combined time of 10 hours and 14 minutes, which is one of the best results we've seen so far in 2020. Charging, however, is pretty slow — the 10W charger included in the box topped up the Redmi 9 in 168 minutes, or 2 hours and 48 minutes. That's slow, but then again, what else did you expect?
🅲🅰🅼🅴🆁🅰
There are three cameras on the Redmi 9: a 13MP main, an 8MP ultra-wide, a 5MP macro camera, and a 2MP depth sensor. You can also shoot at 2X, but don't get fooled, it's merely a digital zoom solution. There’s an 8MP selfie camera up front, and video quality tops up at 1080p at 30fps.","4.0 out of 5 stars"
"Redmi 9 (Sky Blue, 4GB RAM, 64GB Storage)| 5000 mAh| 2.3GHz Mediatek Helio G35 Octa core Processor","Awesome","Awesome","5.0 out of 5 stars"
"Redmi 9 (Sky Blue, 4GB RAM, 64GB Storage)| 5000 mAh| 2.3GHz Mediatek Helio G35 Octa core Processor","Best in budget","Best buy at this price! The display quality is amazing and I do not have any complaint with the camera too. There is no other phone available at this price which comes with 4GB ram. You should go ahead with this.","5.0 out of 5 stars"
"Redmi 9 (Sky Blue, 4GB RAM, 64GB Storage)| 5000 mAh| 2.3GHz Mediatek Helio G35 Octa core Processor","Worst experience","Very bad experience from Amazon. Very bad camera quality of the phone. I want to return the phone, but amazon is not taking back the phone. I don't want to purchase any product from amazon further. Leaving amazon app permanently","1.0 out of 5 stars"
"Redmi 9 (Sky Blue, 4GB RAM, 64GB Storage)| 5000 mAh| 2.3GHz Mediatek Helio G35 Octa core Processor","Think it before buy","i didn't upload photo ....for any reason but it is not up to the mark .
1.display 4/5
2.cam 3/5
3.fing sens.. 4.5/5
4.processor 3/5
5.build quality 3.75/5
back panel is not good looking coz some self design as per my opinion
in this price segment rs 9000 is good enough","4.0 out of 5 stars"
"Redmi 9 (Sky Blue, 4GB RAM, 64GB Storage)| 5000 mAh| 2.3GHz Mediatek Helio G35 Octa core Processor","Value for money","Good product value for money but ordering is too difficult within one minute soldout","5.0 out of 5 stars"
"Redmi 9 (Sky Blue, 4GB RAM, 64GB Storage)| 5000 mAh| 2.3GHz Mediatek Helio G35 Octa core Processor","Everything is fine except camera which only works good in sun light","This phone is not value for money
Its a downgraded phone of earlier phone launched in india.
The camera is worst i ever seen in any redmi phone.
Battery is ok.
The display quality is very bad not hd. Watching videos on YouTube feels like watching 3gp videos.
Dot notch display is ok in lookwise but not good in quality.
Sometimes 4gb ram feels like 2gb.
I am very disappointed by the camera quality of this phone.
12 megapixel feels like 2MP camera.
Recently i am using redmi note 5 pro. And this phone is just downgraded phone by redmi .you cannot imagine low light photography in this phone.
The back plastic body feels like a cheap phone.
If you really need a phone there are many options in the market.
If you are taking phone for the first and a beginner you can go for redmi 9 prime.","1.0 out of 5 stars"
"Redmi 9 (Sky Blue, 4GB RAM, 64GB Storage)| 5000 mAh| 2.3GHz Mediatek Helio G35 Octa core Processor","Bom custo benefício","O smartphone é bem leve, a tela tem um bom tamanho, ótima resolução, muito espaço interno, funções rápidas e a cor do aparelho é bem bonita. Bom custo benefício para o uso do dia a dia, redes sociais, navegação de internet, transações bancárias, fotos e vídeos (ótima resolução e diversas funções). Carregamento bem rápido e bateria dura bastante. Estou com o aparelho há uma semana e não apresentou problemas, mas como usuário médio não fui além para testar as capacidades do aparelho. Pontos negativos é o touch digital q fica atrás do aparelho, apesar de bem pensado para o uso (sem capa) achei um pouco pequeno e às vezes não reconhece, talvez para um dedo maior seja mais trabalhosa a precisão.
A entrega foi demorada (e atrasou em um dia), péssimo para os padrões do Prime (era quando fiz a compra), talvez porque veio pelo Correio, mas chegou sem problemas apesar da caixa do aparelho estar ""solta"" dentro da caixa do vendedor. Minha sugestão para o revendedor é talvez colocar uns krafts amassados ou outra coisa para minimizar o ""vai e vem"". De resto estou bem satisfeito com o aparelho.","4.0 out of 5 stars"
"Redmi 9 (Sky Blue, 4GB RAM, 64GB Storage)| 5000 mAh| 2.3GHz Mediatek Helio G35 Octa core Processor","Parece ser uma celular usado","Achei o celular até bom, porém eu notei o celular não muito novo, notei uns leves arranhões na traseira do msm, a caixinha com varios amassados e detalhes de desgastes , o carregador não serve em tomada padrão novo além de ser 20 amp","2.0 out of 5 stars"
"Redmi 9 (Sky Blue, 4GB RAM, 64GB Storage)| 5000 mAh| 2.3GHz Mediatek Helio G35 Octa core Processor","Porcaria","O celular não carrega nunca chegou a carregar 100 de bateria, podia ficar horas carregando que não chegava aos100 por cento. La pela terceira recarga parou de carregar. NÃO RECOMENDO.","2.0 out of 5 stars"
